CLIA Number,Laboratory Name,Certificate,City,State,Formatted_address,Zip_code,lat,lng
01D0709608,HIGHLANDS MEDICAL CENTER,3,SCOTTSBORO,AL,"380 Woods Cove Rd, Scottsboro, AL 35768, USA",2428,34.6623614,-86.0470241
01D0724352,HALE COUNTY HOSPITAL,1,GREENSBORO,AL,"508 Green St, Greensboro, AL 36744, USA",2318,32.6955444,-87.5869077
01D0956857,CUNNINGHAM PATHOLOGY LLC,3,BIRMINGHAM,AL,"924 Montclair Rd # 200, Birmingham, AL 35213, USA",1200,33.5178155,-86.74352360000002
01D0962231,FLORENCE PATHOLOGY SERVICES LLC,3,FLORENCE,AL,"1701 Veterans Dr, Florence, AL 35630, USA",35630,34.8043953,-87.6509535
01D0987594,MADISON HOSPITAL CLINICAL LABORATORY,3,MADISON,AL,"Suite 101, 8371 Hwy 72 W, Madison, AL 35758, USA",9505,34.7472426,-86.76456030000001
01D0997766,SAADAT ANSARI MD LLC,3,HUNTSVILLE,AL,"201 Longwood Dr SE, Huntsville, AL 35801, USA",2742,34.718929,-86.57636699999999
01D1002183,NAMC LAB AT COX CREEK PARKWAY,3,FLORENCE,AL,"1701 Veterans Dr, Florence, AL 35630, USA",35630,34.8043939,-87.65094529999999
01D1026920,TAYLORVILLE FAMILY MEDICINE,3,TUSCALOOSA,AL,"7700 Alabama Hwy 69 S, Tuscaloosa, AL 35405, USA",35405,33.1361288,-87.5460099
01D1058440,PRIME MED,1,OZARK,AL,"1970 Andrews Ave, Ozark, AL 36360, USA",3726,31.4423226,-85.6649139
01D1071931,AUBURN PEDIATRIC AND ADULT MEDICINE,1,AUBURN,AL,"2353 Bent Creek Rd #110, Auburn, AL 36830, USA",36830,32.6073027,-85.42837589999999
01D1078916,EUFAULA PEDIATRIC CLINIC,3,EUFAULA,AL,"323 E Barbour St, Eufaula, AL 36027, USA",36027,31.8911835,-85.14130089999999
01D1085737,DIATHERIX LABORATORIES,3,HUNTSVILLE,AL,"601 Genome Way Northwest, Huntsville, AL 35806, USA",35806,34.727801,-86.6914261
01D2027930,LABORATORY CORPORATION OF AMERICA HOLDINGS,3,SYLACAUGA,AL,"209 W Spring St Ste 200, Sylacauga, AL 35150, USA",35150,33.1653577,-86.25434860000001
01D2035901,ALABAMA CLINICS,3,DOTHAN,AL,"2812 Hartford Hwy #1, Dothan, AL 36305, USA",36305,31.2005567,-85.4356727
01D2049864,SOUTHERN LAB PARTNERS,1,BIRMINGHAM,AL,"3528 Vann Rd #101, Birmingham, AL 35235, USA",35235,33.6064806,-86.6325713
01D2064487,AMERICAN DRUG TESTING LAB LLC,3,SCOTTSBORO,AL,"506 Harley St, Scottsboro, AL 35768, USA",35768,34.6635807,-86.04606439999999
01D2074949,ASSURANCE SCIENTIFIC LABORATORIES,3,VESTAVIA,AL,"2868 Acton Rd, Birmingham, AL 35243, USA",35243,33.4299662,-86.74092259999999
01D2091573,SOUTHEAST CLINICAL LABORATORIES,1,BIRMINGHAM,AL,"3621 3rd Ave S, Birmingham, AL 35222, USA",35222,33.5203308,-86.78019789999999
01D2093765,"SYNERGY LABORATORIES, INC",3,MOBILE,AL,"Mobile, AL, USA",United States,30.6953657,-88.0398912
01D2098265,PROTEUS MOLECULAR AND CLINICAL LAB LLC,1,HOMEWOOD,AL,"218 Summit Pkwy Ste 250, Birmingham, AL 35209, USA",35209,33.4648204,-86.83202039999999
01D2101230,SOUTHEASTERN DERMATOLOGY GROUP PA,1,HUNTSVILLE,AL,"8331 Madison Blvd #300, Madison, AL 35758, USA",35758,34.6846437,-86.7293744
01D2113023,ALIMETRIX INC,3,HUNTSVILLE,AL,"800 Hudson Rd, Huntsville, AL 35806, USA",35806,34.7275972,-86.6890856
01D2116823,MADISON CORE LABORATORIES,1,HUNTSVILLE,AL,"2705 Artie St SW #30, Huntsville, AL 35805, USA",35805,34.7075406,-86.5923684
01D2119386,TIDE LABORATORIES LLC,3,FORT PAYNE,AL,"Fort Payne, AL, USA",0,34.4442547 , -85.7196893 
01D2143147,LAB WORKS,3,HOMEWOOD,AL,"100 Oxmoor Blvd, Birmingham, AL 35209, USA",35209,33.4608817,-86.8350335
01D2144684,CORE DIAGNOSTIC LABORATORIES LLC,3,BIRMINGHAM,AL,"1930 Edwards Lake Rd #138, Birmingham, AL 35235, USA",35235,33.5974134,-86.64725519999999
01D2151194,"GULF COAST MOLECULAR LABORATORIES, LLC",3,SPANISH FORT,AL,"11617 US-31, Spanish Fort, AL 36527, USA",36527,30.67718,-87.825176
01D2151225,RED MOUNTAIN DIAGNOSTICS,1,HOMEWOOD,AL,"140 Oxmoor Blvd #140, Birmingham, AL 35209, USA",35209,33.461766,-86.833438
02D0066328,CENTRAL PENINSULA GENERAL HOSPITAL,3,SOLDOTNA,AK,"245 N Binkley St, Soldotna, AK 99669, USA",7500,60.49339149999999,-151.0732207
02D0640325,ALASKA NATIVE MED CENTER CLINICAL LAB,3,ANCHORAGE,AK,"4315 Diplomacy Dr, Anchorage, AK 99508, USA",99508,61.182452,-149.8002427
02D0640501,ALASKA REGIONAL HOSPITAL LAB,3,ANCHORAGE,AK,"2801 Debarr Road, Anchorage, AK 99508, USA",99508,61.21084380000001,-149.8284617
02D0640989,PROVIDENCE KODIAK ISLAND,3,KODIAK,AK,"1915 E Rezanof Dr, Kodiak, AK 99615, USA",99615,57.80088369999999,-152.3756472
02D0641026,MAT-SU REGIONAL MEDICAL CENTER,3,PALMER,AK,"2500 S Woodworth Loop, Palmer, AK 99645, USA",99645,61.562392,-149.2582091
02D0641146,MAT-SU REGIONAL OUTPATIENT CENTER,3,WASILLA,AK,"950 E Bogard Rd, Wasilla, AK 99654, USA",7172,61.5864439,-149.4273297
02D0641210,"FOUNDATION HEALTH, LLC",3,FAIRBANKS,AK,"1650 Cowles St, Fairbanks, AK 99701, USA",5998,64.83127879999999,-147.7386278
02D0641299,MANIILAQ HEALTH CENTER,3,KOTZEBUE,AK,"436 5th Ave, Kotzebue, AK 99752, USA",99752,66.8961387,-162.5868698
02D0641354,BARTLETT REGIONAL HOSPITAL,3,JUNEAU,AK,"3260 Hospital Dr, Juneau, AK 99801, USA",99801,58.32901640000001,-134.4649167
02D0641414,MOUNT EDGECUMBE HOSPITAL SEARHC,3,SITKA,AK,"222 Tongass Dr, Sitka, AK 99835, USA",99835,57.0515542,-135.3552157
02D0641454,PEACEHEALTH KETCHIKAN MEDICAL CENTER,3,KETCHIKAN,AK,"3100 Tongass Ave, Ketchikan, AK 99901, USA",99901,55.3535903,-131.6865586
02D0641823,YUKON KUSKOKWIM DELTA REG HOSPITAL,3,BETHEL,AK,"700 Chief Eddie Hoffman Hwy, Bethel, AK 99559, USA",99559,60.78792060000001,-161.7873258
02D0641844,SAMUEL SIMMONDS MEMORIAL HOSPITAL LAB,3,BARROW,AK,"7000 Uula St, Utqiagvik, AK 99723, USA",99723,71.2971783,-156.7289613
02D0641849,NORTON SOUND REGIONAL HOSPITAL - LAB,3,NOME,AK,"1000 Greg Kruschek Avenue, Nome, AK 99762, USA",99762,64.4992304,-165.3784042
02D0663791,SOUTH PENINSULA HOSPITAL,1,HOMER,AK,"4300 Bartlett St, Homer, AK 99603, USA",99603,59.652592,-151.5501469
02D0674496,ALASKA STATE PUBLIC HEALTH LABORATORY,1,ANCHORAGE,AK,"5455 Doctor M.L.K. Jr Ave, Anchorage, AK 99507, USA",7507,61.17984979999999,-149.7803902
02D0674508,ALASKA STATE VIROLOGY LABORATORY,1,FAIRBANKS,AK,"1051 Sheenjek Dr, Fairbanks, AK 99709, USA",99709,64.8598987,-147.8431873
02D0674836,PROVIDENCE ALASKA MEDICAL CTR LAB,3,ANCHORAGE,AK,"3200 Providence Dr, Anchorage, AK 99508, USA",99508,61.1856865,-149.8193142
02D0959385,PENINSULA PATHOLOGY INSTITUTE,3,SOLDOTNA,AK,"44455 Sterling Hwy, Soldotna, AK 99669, USA",7936,60.4819479,-151.0706201
02D1037431,PATHOLOGY ASSOCIATES ARH LABORATORY,3,ANCHORAGE,AK,"1200 Airport Heights Dr STE 160, Anchorage, AK 99508, USA",2971,61.210724,-149.8259103
02D2046936,CHIEF ANDREW ISAAC HEALTH CENTER LABORATORY,3,FAIRBANKS,AK,"1717 W Cowles St, Fairbanks, AK 99701, USA",99701,64.8324756,-147.7452235
02D2072470,"FOUNDATION HEALTH, LLC",1,FAIRBANKS,AK,"1650 Cowles St, Fairbanks, AK 99701, USA",5998,64.83127879999999,-147.7386278
02D2097403,"MEDICAL PARK FAMILY CARE, INC",3,ANCHORAGE,AK,"2211 E Northern Lights Blvd, Anchorage, AK 99508, USA",99508,61.19577169999999,-149.8408101
03D0053373,NORTHERN ARIZONA DERMATOLOGY CENTER PC,1,FLAGSTAFF,AZ,"1490 N Turquoise Dr, Flagstaff, AZ 86001, USA",86001,35.2103211,-111.639373
03D0057138,MARICOPA COUNTY PUBLIC HEALTH LAB,1,PHOENIX,AZ,"4041 N Central Ave #1400, Phoenix, AZ 85012, USA",3314,33.494005,-112.072863
03D0057140,PHOENIX CHILDRENS HOSPITAL-THOMAS,3,PHOENIX,AZ,"1919 E Thomas Rd, Phoenix, AZ 85016, USA",85016,33.4789487,-112.041008
03D0057725,"HCH TUCSON HOLDINGS, LLC DBA HOLY CROSS HOSPITAL",3,NOGALES,AZ,"1171 W Target Range Rd, Nogales, AZ 85621, USA",2415,31.3402519,-110.9597045
03D0057902,NAU-CAMPUS HEALTH SERVICES LABORATORY,3,FLAGSTAFF,AZ,"824 S San Francisco St, Flagstaff, AZ 86001, USA",86001,35.189578,-111.65175
03D0057925,LITTLE COLORADO MEDICAL CENTER,1,WINSLOW,AZ,"1501 N Williamson Ave, Winslow, AZ 86047, USA",2735,35.0357955,-110.6924694
03D0526219,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,3,PHOENIX,AZ,"1111 E McDowell Rd, Phoenix, AZ 85006, USA",85006,33.4646895,-112.0575015
03D0526290,ST LUKE'S MEDICAL CENTER,1,PHOENIX,AZ,"400 N 19th St, Phoenix, AZ 85006, USA",3741,33.4535908,-112.0415389
03D0526359,VALLEYWISE HEALTH MEDICAL CENTER,3,PHOENIX,AZ,"2601 E Roosevelt St, Phoenix, AZ 85008, USA",85008,33.4572917,-112.0261916
03D0526691,ST JOSEPH'S HOSPITAL & MEDICAL CENTER,3,PHOENIX,AZ,"350 W Thomas Rd, Phoenix, AZ 85013, USA",85013,33.48295239999999,-112.0794777
03D0527006,ABRAZO CENTRAL CAMPUS,3,PHOENIX,AZ,"2000 W Bethany Home Rd, Phoenix, AZ 85015, USA",85015,33.5250095,-112.102
03D0527174,PHS INDIAN HOSPITAL,3,WHITERIVER,AZ,"200 W Hospital Dr, Whiteriver, AZ 85941, USA",85941,33.8758829,-109.9577386
03D0527881,SCOTTSDALE HEALTHCARE HOSPITALS DBA HONORHEALTH,3,PHOENIX,AZ,"7400 E Osborn Rd, Scottsdale, AZ 85251, USA",85251,33.4883996,-111.9229949
03D0528237,ABRAZO SCOTTSDALE CAMPUS,3,PHOENIX,AZ,"3929 E Bell Rd, Phoenix, AZ 85032, USA",2112,33.6393068,-111.9979775
03D0528350,LABORATORY CORPORATION OF AMERICA,3,PHOENIX,AZ,"4350 E Ray Rd ste 125 bldg 5, Phoenix, AZ 85044, USA",85044,33.3207315,-111.9905172
03D0528878,SONORA QUEST LABORATORIES LLC,3,TEMPE,AZ,"2000 E Southern Ave #101, Tempe, AZ 85282, USA",7510,33.393499,-111.900051
03D0528879,BANNER DESERT MEDICAL CENTER,3,MESA,AZ,"1400 S Dobson Rd, Mesa, AZ 85202, USA",85202,33.3899517,-111.8773528
03D0529186,BANNER BAYWOOD MEDICAL CENTER,3,MESA,AZ,"6644 E Baywood Ave, Mesa, AZ 85206, USA",85206,33.4099968,-111.6900242
03D0529360,BANNER HEALTH,3,CASA GRANDE,AZ,"1811 E McMurray Blvd, Casa Grande, AZ 85122, USA",85122,32.8837834,-111.7093444
03D0530313,MAYO CLINIC AZ/MAYO CLINIC SCOTTSDALE LAB,3,SCOTTSDALE,AZ,"13400 E Shea Blvd, Scottsdale, AZ 85259, USA",85259,33.5858381,-111.7937992
03D0530356,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,3,SCOTTSDALE,AZ,"9003 E Shea Blvd, Scottsdale, AZ 85260, USA",85260,33.5783193,-111.8828247
03D0530411,TEMPE ST LUKE'S HOSPITAL,1,TEMPE,AZ,"1500 S Mill Ave, Tempe, AZ 85281, USA",85281,33.4126104,-111.9410653
03D0531007,BANNER THUNDERBIRD MEDICAL CENTER,3,GLENDALE,AZ,"5555 W Thunderbird Rd, Glendale, AZ 85306, USA",85306,33.6092249,-112.1796847
03D0531160,LAPAZ REGIONAL HOSPITAL-GENERAL LAB,3,PARKER,AZ,"1200 S Mohave Ave, Parker, AZ 85344, USA",85344,34.1364016,-114.2853397
03D0531354,BANNER BOSWELL MEDICAL CENTER,3,SUN CITY,AZ,"10401 W Thunderbird Blvd, Sun City, AZ 85351, USA",85351,33.6036764,-112.2842245
03D0531581,YUMA REGIONAL MEDICAL CENTER,3,YUMA,AZ,"2400 S Avenue A, Yuma, AZ 85364, USA",85364,32.6821523,-114.6361827
03D0531768,BANNER PAYSON MEDICAL CENTER,3,PAYSON,AZ,"807 S Ponderosa St, Payson, AZ 85541, USA",85541,34.2299506,-111.320838
03D0531813,SAN CARLOS APACHE HEALTHCARE CENTER,3,PERIDOT,AZ,"104 Medicine Way, Peridot, AZ 85542, USA",85542,33.2955388,-110.4164493
03D0531824,BENSON HOSPITAL,1,BENSON,AZ,"450 S Ocotillo Ave, Benson, AZ 85602, USA",85602,31.9650177,-110.3081217
03D0531947,"TOHONO O'ODHAM NATION HEALTH CARE, SELLS HOSPITAL",3,SELLS,AZ,"AZ-86, Sells, AZ 85634, USA",85634,31.9186494,-111.8902206
03D0532965,ARIZONA COMMUNITY PHYSICIANS LABORATORY,3,TUCSON,AZ,"3443 N Campbell Ave # 135, Tucson, AZ 85719, USA",2379,32.269073,-110.944244
03D0532968,TUCSON MEDICAL CENTER,3,TUCSON,AZ,"5301 E Grant Rd, Tucson, AZ 85712, USA",85712,32.2529912,-110.8798847
03D0533003,BANNER -UNIVERSITY MEDICAL CENTER SOUTH CAMPUS LLC,3,TUCSON,AZ,"2800 E Ajo Way, Tucson, AZ 85713, USA",85713,32.175466,-110.92933
03D0533433,BANNER - UNIVERSITY MEDICAL CENTER,3,TUCSON,AZ,"1625 N Campbell Ave, Tucson, AZ 85719, USA",85719,32.240795,-110.9459159
03D0533469,NORTHWEST HOSPITAL LLC DBA NORTHWEST,3,TUCSON,AZ,"6200 N La Cholla Blvd, Tucson, AZ 85741, USA",85741,32.3195158,-111.0090883
03D0533749,FLAGSTAFF MEDICAL CENTER,3,FLAGSTAFF,AZ,"1200 N Beaver St, Flagstaff, AZ 86001, USA",3118,35.20832,-111.643986
03D0533874,TUBA CITY REGIONAL HEALTH CARE CORPORATION,3,TUBA CITY,AZ,"167 Main St, Tuba City, AZ 86045, USA",86045,36.1359847,-111.2369947
03D0534045,YAVAPAI REGIONAL MEDICAL CENTER,3,PRESCOTT,AZ,"1003 Willow Creek Rd, Prescott, AZ 86301, USA",1668,34.559646,-112.4807204
03D0534154,VERDE VALLEY MEDICAL CENTER,3,COTTONWOOD,AZ,"269 S Candy Ln, Cottonwood, AZ 86326, USA",86326,34.7355271,-112.0288197
03D0534242,LABORATORY CORPORATION OF AMERICA,1,FLAGSTAFF,AZ,"1200 N Beaver St, Flagstaff, AZ 86001, USA",86001,35.2088814,-111.6441794
03D0534325,HAVASU REGIONAL MEDICAL CENTER,3,LAKE HAVASU CITY,AZ,"101 Civic Center Ln, Lake Havasu City, AZ 86403, USA",86403,34.4804744,-114.3387237
03D0534417,WESTERN ARIZONA REGIONAL MEDICAL CENTER,3,BULLHEAD CITY,AZ,"2735 Silver Creek Rd, Bullhead City, AZ 86442, USA",86442,35.1103607,-114.5547973
03D0534475,TSEHOOTSOOI MEDICAL CENTER MAIN LABORATORY,3,FORT DEFIANCE,AZ,"Corner of Routes N12 & N7, Fort Defiance, AZ 86504, USA",86504,35.759317,-109.0483992
03D0641866,ARIZONA STATE HEALTH LABORATORY,1,PHOENIX,AZ,"250 N 17th Ave, Phoenix, AZ 85007, USA",3231,33.450571,-112.0964996
03D0641949,ABRAZO ARROWHEAD CAMPUS,3,GLENDALE,AZ,"18701 N 67th Ave, Glendale, AZ 85308, USA",7100,33.6550418,-112.2018374
03D0642043,CHINLE COMPREHENSIVE CARE FACILITY,3,CHINLE,AZ,"U.S. 191 & Hospital Drive, Chinle, AZ 86503, USA",86503,36.1575812,-109.6076963
