CLIA Number,Laboratory Name,Certificate,City,State
03D0526691,ST JOSEPH'S HOSPITAL & MEDICAL CENTER,3,PHOENIX,AZ
03D0527006,ABRAZO CENTRAL CAMPUS,3,PHOENIX,AZ
03D0527174,PHS INDIAN HOSPITAL,3,WHITERIVER,AZ
03D0527881,SCOTTSDALE HEALTHCARE HOSPITALS DBA HONORHEALTH,3,PHOENIX,AZ
03D0528237,ABRAZO SCOTTSDALE CAMPUS,3,PHOENIX,AZ
03D0528350,LABORATORY CORPORATION OF AMERICA,3,PHOENIX,AZ
03D0528878,SONORA QUEST LABORATORIES LLC,3,TEMPE,AZ
03D0528879,BANNER DESERT MEDICAL CENTER,3,MESA,AZ
03D0529186,BANNER BAYWOOD MEDICAL CENTER,3,MESA,AZ
03D0529360,BANNER HEALTH,3,CASA GRANDE,AZ
03D0530313,MAYO CLINIC AZ/MAYO CLINIC SCOTTSDALE LAB,3,SCOTTSDALE,AZ
03D0530356,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,3,SCOTTSDALE,AZ
03D0530411,TEMPE ST LUKE'S HOSPITAL,1,TEMPE,AZ
03D0531007,BANNER THUNDERBIRD MEDICAL CENTER,3,GLENDALE,AZ
03D0531160,LAPAZ REGIONAL HOSPITAL-GENERAL LAB,3,PARKER,AZ
03D0531354,BANNER BOSWELL MEDICAL CENTER,3,SUN CITY,AZ
03D0531581,YUMA REGIONAL MEDICAL CENTER,3,YUMA,AZ
03D0531768,BANNER PAYSON MEDICAL CENTER,3,PAYSON,AZ
03D0531813,SAN CARLOS APACHE HEALTHCARE CENTER,3,PERIDOT,AZ
03D0531824,BENSON HOSPITAL,1,BENSON,AZ
03D0531947,"TOHONO O'ODHAM NATION HEALTH CARE, SELLS HOSPITAL",3,SELLS,AZ
03D0532965,ARIZONA COMMUNITY PHYSICIANS LABORATORY,3,TUCSON,AZ
03D0532968,TUCSON MEDICAL CENTER,3,TUCSON,AZ
03D0533003,BANNER -UNIVERSITY MEDICAL CENTER SOUTH CAMPUS LLC,3,TUCSON,AZ
03D0533433,BANNER - UNIVERSITY MEDICAL CENTER,3,TUCSON,AZ
03D0533469,NORTHWEST HOSPITAL LLC DBA NORTHWEST,3,TUCSON,AZ
03D0533749,FLAGSTAFF MEDICAL CENTER,3,FLAGSTAFF,AZ
03D0533874,TUBA CITY REGIONAL HEALTH CARE CORPORATION,3,TUBA CITY,AZ
03D0534045,YAVAPAI REGIONAL MEDICAL CENTER,3,PRESCOTT,AZ
03D0534154,VERDE VALLEY MEDICAL CENTER,3,COTTONWOOD,AZ
03D0534242,LABORATORY CORPORATION OF AMERICA,1,FLAGSTAFF,AZ
03D0534325,HAVASU REGIONAL MEDICAL CENTER,3,LAKE HAVASU CITY,AZ
03D0534417,WESTERN ARIZONA REGIONAL MEDICAL CENTER,3,BULLHEAD CITY,AZ
03D0534475,TSEHOOTSOOI MEDICAL CENTER MAIN LABORATORY,3,FORT DEFIANCE,AZ
03D0641866,ARIZONA STATE HEALTH LABORATORY,1,PHOENIX,AZ
03D0641949,ABRAZO ARROWHEAD CAMPUS,3,GLENDALE,AZ
03D0642043,CHINLE COMPREHENSIVE CARE FACILITY,3,CHINLE,AZ
03D0663867,HU HU KAM MEMORIAL HOSPITAL,3,SACATON,AZ
03D0664433,PHOENIX INDIAN MED CTR - LABORATORY,3,PHOENIX,AZ
03D0667628,BANNER DEL E WEB MEDICAL CENTER-CLINICAL LAB,3,SUN CITY WEST,AZ
03D0669183,MOUNT GRAHAM REGIONAL MEDICAL CENTER,3,SAFFORD,AZ
03D0672294,USPHS-PINON HEALTH CENTER,3,PINON,AZ
03D0675832,CIBECUE HEALTH CENTER LABORATORY,3,CIBECUE,AZ
03D0676181,SUMMIT HEALTHCARE REGIONAL MEDICAL,3,SHOW LOW,AZ
03D0676309,HOPI HEALTH CARE CENTER,3,POLACCA,AZ
03D0677157,KAYENTA SERVICE UNIT - KAYENTA HEALTH CENTER,3,KAYENTA,AZ
03D0679814,USPHS TSAILE INDIAN HEALTH CENTER,3,TSAILE,AZ
03D0859649,CAMPUS HEALTH SERVICE,1,TEMPE,AZ
03D0864297,TOHONO O'ODHAM NATION HEALTH CARE,3,TUCSON,AZ
03D0867554,MARC EPSTEIN DO & RICHARD HOSHAW MD,1,TUCSON,AZ
03D0907018,BYLAS HEALTH CENTER,3,BYLAS,AZ
03D0911463,CREATIVE TESTING SOLUTIONS,3,TEMPE,AZ
03D0947316,MAYO CLINIC HOSPITAL,3,PHOENIX,AZ
03D0957147,"EPIPHANY DERMATOLOGY OF ARIZONA, LLC",1,PEORIA,AZ
03D0959818,TOHONO O'ODHAM NATION HEALTH CARE,3,SELLS,AZ
03D1000963,NADC COTTONWOOD,1,COTTONWOOD,AZ
03D1014090,ABRAZO WEST CAMPUS - LABORATORY,3,GOODYEAR,AZ
03D1029841,BANNER ESTRELLA MEDICAL CENTER LABORATORY,3,PHOENIX,AZ
03D1033344,ORO VALLEY HOSPITAL,3,ORO VALLEY,AZ
03D1051518,YAVAPAI REGIONAL MEDICAL CENTER EAST CAMPUS,3,PRESCOTT VALLEY,AZ
03D1052329,"CLIN-PATH DIAGNOSTICS, LLC",3,TEMPE,AZ
03D1053568,DIGNITY HEALTH DBA MERCY GILBERT MEDICAL CENTER,3,GILBERT,AZ
03D1067228,BANNER GATEWAY MEDICAL CENTER,3,GILBERT,AZ
03D1086043,COMPLETE CARE MEDICINE,3,GILBERT,AZ
03D1087346,PAGE HOSPITAL,3,PAGE,AZ
03D1092228,WESTERN REGIONAL MEDICAL CENTER LABORATORY,3,GOODYEAR,AZ
03D1093003,KOMATKE HEALTH CENTER,3,LAVEEN,AZ
03D1104607,ARIZONA DERMATOPATHOLOGY,3,SCOTTSDALE,AZ
03D2001924,BANNER GOLDFIELD MEDICAL CENTER,3,APACHE JUNCTION,AZ
03D2008842,BANNER IRONWOOD MEDICAL CENTER,3,QUEEN CREEK,AZ
03D2056360,"EPIPHANY DERMATOLOGY OF ARIZONA, LLC",1,PHOENIX,AZ
03D2066951,ST JOSEPH'S HOSPITAL & MED CTR MOLECULAR MEDICINE,3,PHOENIX,AZ
03D2089365,"PARADIGM LABORATORIES, LLC",3,TUCSON,AZ
03D2091342,KINGMAN REGIONAL MEDICAL CENTER PATHOLOGY/LAB,3,KINGMAN,AZ
03D2093106,MAYO CLINIC BUILDING PHOENIX LABORATORY,3,PHOENIX,AZ
03D2132898,"EPIPHANY DERMATOLOGY OF ARIZONA, LLC",1,AVONDALE,AZ
03D2148100,RED TAIL HAWK HEALTH CENTER,3,CHANDLER,AZ
03D2152072,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,3,MESA,AZ
03D2152133,"INTEGRA MOLECULAR, LLC",3,PHOENIX,AZ
03D2160987,ABRAZO MESA HOSPITAL,3,MESA,AZ
03D2164193,VALLEYWISE HEALTH MARYVALE,3,PHOENIX,AZ
04D0049895,ST BERNARDS MEDICAL CENTER - LABORATORY,3,JONESBORO,AR
04D0050071,SILOAM SPRINGS REGIONAL HOSPITAL,3,SILOAM SPRINGS,AR
04D0050076,NORTHWEST MEDICAL CENTER,3,SPRINGDALE,AR
04D0465446,BRADLEY COUNTY MEDICAL CENTER LAB,1,WARREN,AR
04D0465498,OUACHITA COUNTY MEDICAL CENTER,1,CAMDEN,AR
04D0465573,MEDICAL CENTER OF SOUTH ARKANSAS,3,EL DORADO,AR
04D0465641,MAGNOLIA REGIONAL MEDICAL CENTER,1,MAGNOLIA,AR
04D0465694,LITTLE RIVER MEMORIAL HOSPITAL,1,ASHDOWN,AR
04D0465809,NATIONAL PARK MEDICAL CENTER,3,HOT SPRINGS,AR
04D0466155,SALINE MEMORIAL HOSPITAL LABORATORY,3,BENTON,AR
04D0466269,CONWAY REGIONAL MEDICAL CENTER,3,CONWAY,AR
04D0466383,JACKSONVILLE MEDICAL CARE,1,JACKSONVILLE,AR
04D0466889,ARKANSAS CHILDREN'S HOSPITAL CLINICAL LABORATORY,3,LITTLE ROCK,AR
04D0467220,ALL FOR KIDS,1,LITTLE ROCK,AR
04D0467366,PATHOLOGY LABORATORIES OF ARK PA,3,LITTLE ROCK,AR
04D0467525,CENTRAL ARKANSAS PEDIATRIC CLINIC,1,BENTON,AR
04D0467719,MISSISSIPPI COUNTY HOSPITAL SYSTEM,3,BLYTHEVILLE,AR
04D0467755,FORREST CITY MEDICAL CENTER,3,FORREST CITY,AR
04D0467800,HELENA REGIONAL MEDICAL CENTER,3,HELENA,AR
04D0468144,FIVE RIVERS MEDICAL CENTER,1,POCAHONTAS,AR
04D0468400,NORTH ARKANSAS REGIONAL MEDICAL CENTER LABORATORY,3,HARRISON,AR
04D0468424,MERCY HOSPITAL BERRYVILLE,3,BERRYVILLE,AR
04D0468675,NORTHWEST ARKANSAS PATHOLOGY ASSOCIATES,3,FAYETTEVILLE,AR
04D0468701,NORTHWEST MEDICAL CENTER OF BENTON COUNTY,3,BENTONVILLE,AR
04D0468964,ST MARY'S REGIONAL MEDICAL CENTER,3,RUSSELLVILLE,AR
04D0468990,MILLARD-HENRY CLINIC OF RUSSELLVILLE,1,RUSSELLVILLE,AR
04D0469039,JOHNSON REGIONAL MEDICAL CENTER,1,CLARKSVILLE,AR
04D0469263,MERCY HOSPITAL FORT SMITH,3,FORT SMITH,AR
04D0469292,BAPTIST HEALTH - FORT SMITH,3,FORT SMITH,AR
04D0469351,BAPTIST HEALTH - VAN BUREN,3,VAN BUREN,AR
04D0642072,MCGEHEE HOSPITAL INC,1,MCGEHEE,AR
04D0642237,CLINICAL LAB UNIVERSITY HOSPITAL,3,LITTLE ROCK,AR
04D0642238,ARKANSAS PATHOLOGY ASSOCIATES,3,LITTLE ROCK,AR
04D0642285,ARKANSAS METHODIST MEDICAL CENTER,3,PARAGOULD,AR
04D0665342,ST VINCENT INFIRMARY,3,LITTLE ROCK,AR
04D0668701,BAPTIST MEDICAL CENTER CLINICAL - LITTLE ROCK,3,LITTLE ROCK,AR
04D0670059,BAPTIST HEALTH MED CTR/N LITTLE ROCK,3,NORTH LITTLE ROCK,AR
04D0671752,"MERCY HOSPITAL, NORTHWEST AR",3,ROGERS,AR
04D0687360,UNITY HEALTH HARRIS MEDICAL CENTER,1,NEWPORT,AR
04D0689262,DALLAS COUNTY MEDICAL CENTER,1,FORDYCE,AR
04D0692424,BAXTER REGIONAL MEDICAL CENTER,3,MOUNTAIN HOME,AR
04D0693675,DREW MEMORIAL HOSPITAL,1,MONTICELLO,AR
04D0703618,LITTLE ROCK PEDIATRIC CLINIC,1,LITTLE ROCK,AR
04D0890576,ARKANSAS ANATOMIC PATHOLOGY LABORATORY AND,3,JONESBORO,AR
04D0922806,ARKANSAS HEART HOSPITAL,3,LITTLE ROCK,AR
04D0929297,ANGELA R STYLES M D DERMATOLOGY & DERMATOPATHOLOGY,1,CLARKSVILLE,AR
04D0973494,ST VINCENT MEDICAL CLINIC SHERWOOD,1,SHERWOOD,AR
04D1000882,WASHINGTON REGIONAL MEDICAL CENTER,3,FAYETTEVILLE,AR
04D1044168,ARKANSAS PUBLIC HEALTH LABORATORY CENTRAL-ARKANSAS,3,LITTLE ROCK,AR
04D1052897,"JOHNSON DERMATOLOGY CLINIC, PLLC",1,FORT SMITH,AR
04D1077330,DELTA DERMATOLOGY AND SKIN CANCER SPEC,1,HELENA,AR
04D1080423,CHI ST VINCENT MEDICAL GROUP HOT SPRINGS,1,HOT SPRINGS,AR
04D1082030,CHI ST VINCENT HOSPITAL HOT SPRINGS LAB SERVICES,3,HOT SPRINGS,AR
04D1085608,WHITE RIVER MEDICAL CENTER,1,BATESVILLE,AR
04D1093915,NORTHWEST HEALTH PHYSICIAN'S SPECIALTY HOSPITAL,1,FAYETTEVILLE,AR
04D2074398,UNITY HEALTH WCMC,1,SEARCY,AR
04D2081659,ADVANCED DERMATOLOGY & SKIN CANCER CENTER,1,BENTONVILLE,AR
04D2084417,"PATHOLOGY PARTNERS, LLC",1,LITTLE ROCK,AR
04D2112729,BAPTIST HEALTH FAMILY CLINIC - MASSARD,1,FORT SMITH,AR
04D2117481,BAPTIST HEALTH MEDICAL CENTER CONWAY,3,CONWAY,AR
04D2148247,"PREMIERE GASTROENTEROLOGY ASSOCIATES, PLLC",1,LITTLE ROCK,AR
04D2157326,"CQUENTIA ARKANSAS LAB, LLC",1,FAYETTEVILLE,AR
05D0058906,USC KENNETH NORRIS JR  CANCER HOSPITAL,3,LOS ANGELES,CA
05D0059345,PROVIDENCE SAINT JOHN'S HEALTH CENTER,3,SANTA MONICA,CA
05D0059562,LAKEWOOD REGIONAL MEDICAL CENTER,3,LAKEWOOD,CA
05D0059868,ADVENTIST HEALTH GLENDALE LABORATORY,3,GLENDALE,CA
05D0060008,PACIFICA HOSPITAL OF THE VALLEY,3,SUN VALLEY,CA
05D0060015,HENRY MAYO NEWHALL MEM HOSP PHY,3,VALENCIA,CA
05D0060091,SHERMAN OAKS HOSPITAL CLINICAL LABORATORY,3,SHERMAN OAKS,CA
05D0060292,GREATER EL MONTE COMMUNITY HOSPITAL LABORATORY,3,SOUTH EL MONTE,CA
05D0060541,SHARP CHULA VISTA MEDICAL CENTER,3,CHULA VISTA,CA
05D0060808,SAN DIEGO COUNTY PUBLIC HEALTH LAB,1,SAN DIEGO,CA
05D0060831,SAN DIEGO STATE UNIVERSITY,3,SAN DIEGO,CA
05D0060931,SAN GORGONIO MEMORIAL HOSPITAL,3,BANNING,CA
05D0061030,BEAR VALLEY COMMUNITY HOSPITAL LABORATORY,1,BIG BEAR LAKE,CA
05D0061551,MISSION HOSPITAL LABORATORY,3,MISSION VIEJO,CA
05D0062197,MEMORIAL HOSPITAL LOS BANOS LABORATORY,3,LOS BANOS,CA
05D0062466,KAISER FOUNDATION HOSPITAL,3,REDWOOD CITY,CA
05D0062620,CALIFORNIA PACIFIC MEDICAL CENTER LABORATORY,3,SAN FRANCISCO,CA
05D0062669,CHINESE HOSPITAL LABORATORY,3,SAN FRANCISCO,CA
05D0062682,PALO ALTO MEDICAL FOUNDATION CLINICAL LAB,1,PALO ALTO,CA
05D0062712,SAN MATEO MEDICAL CENTER LABORATORY,3,SAN MATEO,CA
05D0063233,HAZEL HAWKINS MEMORIAL HOSPITAL-LAB,3,HOLLISTER,CA
05D0063339,KAISER FOUNDATION HOSPITAL SAN JOSE LABORATORY,3,SAN JOSE,CA
05D0063391,O'CONNOR HOSPITAL LABORATORY,3,SAN JOSE,CA
05D0063759,ADVENTIS HEALTH UKIAH VALLEY,3,UKIAH,CA
05D0063882,SUTTER-AMADOR HOSPITAL LABORATORY,3,JACKSON,CA
05D0541033,CEDARS SINAI MEDICAL CENTER DEPT OF PATHOLOGY,3,LOS ANGELES,CA
05D0541582,GOOD SAMARITAN HOSPITAL,3,LOS ANGELES,CA
05D0541988,ELADH LP/EAST LOS ANGELES DOCTORS HOSPITAL,3,LOS ANGELES,CA
05D0542002,LOS ANGELES COMMUNITY HOSPITAL LAB,3,LOS ANGELES,CA
05D0542989,CHILDRENS HOSPITAL OF LOS ANGELES,3,LOS ANGELES,CA
05D0543401,LOS ANGELES COUNTY UNIVERSITY OF,3,LOS ANGELES,CA
05D0543421,ADVENTIST HEALTH WHITE MEMORIAL LABORATORY,3,LOS ANGELES,CA
05D0545394,"MARTIN LUTHER KING, JR. OUTPATIENT CENTER",3,LOS ANGELES,CA
05D0547507,PIH HEALTH HOSPITAL - DOWNEY,3,DOWNEY,CA
05D0547779,"GARDENA HOSPITAL, L P  DBA",3,GARDENA,CA
05D0548135,COMMUNITY AND MISSION HOSPITAL OF HUNTINGTON PARK,3,HUNTINGTON PARK,CA
05D0548351,ST. FRANCIS MEDICAL CENTER,3,LYNWOOD,CA
05D0549308,CENTINELA HOSPITAL MEDICAL CTR CLINICAL LABORATORY,3,INGLEWOOD,CA
05D0550292,SANTA MONICA-UCLA MEDICAL CENTER AND ORTHOPAEDIC,3,SANTA MONICA,CA
05D0551473,PIH HOSPITAL-WHITTIER,3,WHITTIER,CA
05D0551641,WHITTIER HOSPITAL MEDICAL CENTER,3,WHITTIER,CA
05D0552242,BEVERLY HOSPITAL CLINICAL LABORATORY,3,MONTEBELLO,CA
05D0552357,COAST PLAZA HOSPITAL CLINICAL LABORATORY,3,NORWALK,CA
05D0552389,NORWALK COMMUNITY HOSPITAL,3,NORWALK,CA
05D0553364,CONSOLIDATED MEDICAL BIO-ANALYSIS INC,3,CYPRESS,CA
05D0553391,LOS ALAMITOS MEDICAL CENTER LABORATORY,3,LOS ALAMITOS,CA
05D0553661,PROVIDENCE HEALTH SYSTEM -SOUTHERN  CALIFORNIA DBA,3,SAN PEDRO,CA
05D0553826,LONG BEACH MEMORIAL MEDICAL CENTER,3,LONG BEACH,CA
05D0556176,HUNTINGTON MEMORIAL HOSPITAL,3,PASADENA,CA
05D0556808,GLENDALE MEMORIAL HOSP & HEALTH CENTER,3,GLENDALE,CA
05D0557618,WEST HILLS HOSPITAL & MEDICAL CENTER,3,WEST HILLS,CA
05D0558250,NORTHRIDGE HOSPITAL MEDICAL CENTER-,3,NORTHRIDGE,CA
05D0558588,LOS ANGELES CO-OLIVE VIEW-UCLA MEDICAL,3,SYLMAR,CA
05D0558775,PROVIDENCE HOLY CROSS MEDICAL CENTER,3,MISSION HILLS,CA
05D0559238,PROVIDENCE TARZANA MEDICAL CENTER CLINICAL,3,TARZANA,CA
05D0559511,LOS ROBLES HOSPITAL AND MEDICAL CENTER,3,THOUSAND OAKS,CA
05D0560695,VALLEY PRESBYTERIAN HOSPITAL-,3,VAN NUYS,CA
05D0561143,ENCINO HOSPITAL MEDICAL CENTER - LABORATORY,3,ENCINO,CA
05D0562498,CORONA REGIONAL MEDICAL CENTER,3,CORONA,CA
05D0563186,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,3,GLENDORA,CA
05D0563735,GARFIELD MEDICAL CENTER LABORATORY,3,MONTEREY PARK,CA
05D0563759,MONTEREY PARK HOSPITAL,3,MONTEREY PARK,CA
05D0563772,SUN CLINICAL LABORATORIES,1,EL MONTE,CA
05D0564307,POMONA VALLEY HOSPITAL MEDICAL CENTER,3,POMONA,CA
05D0564683,AHMC SAN GABRIEL VALLEY MEDICAL CENTER,3,SAN GABRIEL,CA
05D0564961,SAN ANTONIO REGIONAL HOSPITAL LABORATORY,3,UPLAND,CA
05D0565194,EMENATE HEALTH QUEEN OF THE VALLEY HOSPITAL,3,WEST COVINA,CA
05D0565339,DONG L CHANG MD INC,1,ARCADIA,CA
05D0565928,SCRIPPS MERCY HOSPITAL-CHULA VISTA,3,CHULA VISTA,CA
05D0568044,PARADISE VALLEY HOSPITAL,3,NATIONAL CITY,CA
05D0568241,"DERMATOLOGIST MEDICAL GROUP OF NORTH COUNTY, INC.",1,OCEANSIDE,CA
05D0570880,SKIN SURGERY MEDICAL GROUP,1,SAN DIEGO,CA
05D0570915,SHARP CORNADO HOSP & HEALTHCARE CENTER,3,CORONADO,CA
05D0571075,ALVARADO HOSPITAL LABORATORY   PATHOLOGY LAB,3,SAN DIEGO,CA
05D0571200,LABORATORY CORPORATION OF AMERICA,3,SAN DIEGO,CA
05D0571204,LABORATORY CORPORATION OF AMERICA,3,SAN DIEGO,CA
05D0571393,RADY CHILDREN'S HOSPITAL AND HEALTH CENTER,3,SAN DIEGO,CA
05D0571576,SHARP REES STEALY CLINICS LABORATORY-SORRENTO MESA,1,SAN DIEGO,CA
05D0571647,SCRIPPS MEDICAL LABORATORY,3,SAN DIEGO,CA
05D0571882,COUNTY OF RIVERSIDE DOPH LABORATORY,1,RIVERSIDE,CA
05D0572029,PIONEERS MEMORIAL HOSPITAL LABORATORY,3,BRAWLEY,CA
05D0572277,HI-DESERT MEDICAL CENTER,3,JOSHUA TREE,CA
05D0572804,EISENHOWER MEDICAL CENTER/MAIN LAB,3,RANCHO MIRAGE,CA
05D0573048,ST. MARY MEDICAL CENTER,3,APPLE VALLEY,CA
05D0573118,BARSTOW COMMUNITY HOSPITAL,3,BARSTOW,CA
05D0573549,HEMET VALLEY MEDICAL CENTER CLINICAL LAB,3,HEMET,CA
05D0573839,LOMA LINDA UNIVERSITY MEDICAL CENTER,3,LOMA LINDA,CA
05D0574087,REDLANDS COMMUNITY HOSP CLINICAL LAB,3,REDLANDS,CA
05D0574222,MENIFEE VALLEY MEDICAL CENTER,3,SUN CITY,CA
05D0574725,SOUTHWEST HEALTHCARE SYSTEM CLINICAL,3,WILDOMAR,CA
05D0575005,ST BERNARDINE MEDICAL CENTER CLIN LAB,3,SAN BERNARDINO,CA
05D0575266,COMMUNITY HOSPITAL OF SAN BERNARDINO,3,SAN BERNARDINO,CA
05D0575478,DOCTORS HOSPITAL OF RIVERSIDE,3,RIVERSIDE,CA
05D0575495,RIVERSIDE UNIVERSITY HEALTH SYSTEM MEDICAL CENTER,3,MORENO VALLEY,CA
05D0576873,ST JUDE MEDICAL CENTER,3,FULLERTON,CA
05D0577116,GARDEN GROVE HOSPITAL AND MEDICAL CENTER,3,GARDEN GROVE,CA
05D0577492,HUNTINGTON BEACH HOSP,3,HUNTINGTON BEACH,CA
05D0577863,ROBERT B CARLIN MD,1,LAGUNA HILLS,CA
05D0577892,HOAG CLINIC,3,LAGUNA HILLS,CA
05D0578029,MEMORIALCARE SADDLEBACK MEDICAL CENTER LABORATORY,3,LAGUNA HILLS,CA
05D0578635,HOAG MEMORIAL HOSPITAL PRESBYTERIAN CLINICAL LAB,3,NEWPORT BEACH,CA
05D0579177,SAINT JOSEPH HOSPITAL-LABORATORY,3,ORANGE,CA
05D0579200,UCI MEDICAL CENTER,3,ORANGE,CA
05D0579232,CHAPMAN GLOBAL MEDICAL CENTER,3,ORANGE,CA
05D0579701,MISSION HOSPITAL LAGUNA BEACH LABORATORY,3,LAGUNA BEACH,CA
05D0580255,NEWPORT BEACH SURGICAL AND MEDICAL GROUP,1,YORBA LINDA,CA
05D0581023,SOUTH COAST GLOBAL MEDICAL CENTER,3,SANTA ANA,CA
05D0581647,FOUNTAIN VALLEY REG'L HOSP CLNCL LAB,3,FOUNTAIN VALLEY,CA
05D0583398,ST JOHN'S PLEASANT VALLEY HOSPITAL,3,CAMARILLO,CA
05D0583533,FRED M FAUVRE MD,3,OJAI,CA
05D0583560,OJAI COMMUNITY HOSPITAL LABORATORY,3,OJAI,CA
05D0583877,ST JOHN'S REGIONAL MEDICAL CENTER,3,OXNARD,CA
05D0584279,ADVENTIST HEALTH SIMI VALLEY,3,SIMI VALLEY,CA
05D0584831,SANTA BARBARA COTTAGE HOSPITAL-CLINICAL LABORATORY,3,SANTA BARBARA,CA
05D0585158,DELANO REGIONAL MEDICAL CENTER,3,DELANO,CA
05D0585503,SIERRA VIEW MEDICAL CENTER LAB,3,PORTERVILLE,CA
05D0586209,BAKERSFIELD MEMORIAL HOSP LAB,3,BAKERSFIELD,CA
05D0586290,MERCY HEALTHCARE BAKERSFIELD,3,BAKERSFIELD,CA
05D0586323,ADVENTIST HEALTH BAKERSFIELD,3,BAKERSFIELD,CA
05D0586435,KERN MEDICAL CENTER,3,BAKERSFIELD,CA
05D0586788,FRENCH HOSPITAL MEDICAL CENTER LABORATORY,3,SAN LUIS OBISPO,CA
05D0586887,"SAN LUIS DERMATOLOGY & LASER CLINIC, INC",1,SAN LUIS OBISPO,CA
05D0586961,ARROYO GRANDE COMMUNITY HOSPITAL LABORATORY,3,ARROYO GRANDE,CA
05D0587189,LOMPOC HOSPITAL DISTRICT,3,LOMPOC,CA
05D0587424,MARIAN MEDICAL CENTER CLINICAL LAB,3,SANTA MARIA,CA
05D0587717,TWIN CITIES COMMUMITY HOSPITAL,3,TEMPLETON,CA
05D0587768,NORTHERN INYO HOSPITAL,3,BISHOP,CA
05D0587924,ANTELOPE VALLEY HOSPITAL,3,LANCASTER,CA
05D0588097,MAMMOTH HOSPITAL LABORATORY,3,MAMMOTH LAKES,CA
05D0588246,RIDGECREST REGIONAL HOSPITAL,3,RIDGECREST,CA
05D0588371,CLOVIS COMMUNITY MEDICAL CENTER,3,CLOVIS,CA
05D0588593,MADERA COMMUNITY HOSPITAL,3,MADERA,CA
05D0588733,ADVENTIST HEALTH REEDLEY,3,REEDLEY,CA
05D0589522,SAINT AGNES MEDICAL CENTER,3,FRESNO,CA
05D0589878,KAISER FOUNDATION HOSPITAL FRESNO LABORATORY,3,FRESNO,CA
05D0590264,SALINAS VALLEY MEMORIAL HOSPITAL LABORATORY,3,SALINAS,CA
05D0590349,NATIVIDAD MEDICAL CENTER,3,SALINAS,CA
